X [s],R DELTOID ANTERIOR: EMG 2 [V],R DELTOID ANTERIOR: EMG 2->filter (FilterSlidingRMS69) [V]
0.000000e+000,0.000000e+000,0.000000e+000
5.192308e-004,0.000000e+000,0.000000e+000
1.038462e-003,0.000000e+000,0.000000e+000
1.557692e-003,0.000000e+000,0.000000e+000
2.076923e-003,0.000000e+000,0.000000e+000
2.596154e-003,0.000000e+000,0.000000e+000
3.115385e-003,0.000000e+000,0.000000e+000
3.634615e-003,0.000000e+000,0.000000e+000
4.153846e-003,0.000000e+000,0.000000e+000
4.673077e-003,0.000000e+000,0.000000e+000
5.192308e-003,0.000000e+000,0.000000e+000
5.711538e-003,0.000000e+000,0.000000e+000
6.230769e-003,0.000000e+000,0.000000e+000
6.750000e-003,0.000000e+000,0.000000e+000
7.269231e-003,0.000000e+000,0.000000e+000
7.788462e-003,0.000000e+000,0.000000e+000
8.307692e-003,0.000000e+000,0.000000e+000
8.826923e-003,0.000000e+000,0.000000e+000
9.346154e-003,0.000000e+000,0.000000e+000
9.865385e-003,0.000000e+000,0.000000e+000
1.038462e-002,0.000000e+000,0.000000e+000
1.090385e-002,0.000000e+000,0.000000e+000
1.142308e-002,0.000000e+000,0.000000e+000
1.194231e-002,0.000000e+000,0.000000e+000
1.246154e-002,0.000000e+000,0.000000e+000
1.298077e-002,0.000000e+000,0.000000e+000
1.350000e-002,0.000000e+000,0.000000e+000
1.401923e-002,0.000000e+000,0.000000e+000
1.453846e-002,0.000000e+000,0.000000e+000
1.505769e-002,0.000000e+000,0.000000e+000
1.557692e-002,0.000000e+000,0.000000e+000
1.609615e-002,0.000000e+000,0.000000e+000
1.661538e-002,0.000000e+000,0.000000e+000
1.713462e-002,0.000000e+000,0.000000e+000
1.765385e-002,0.000000e+000,0.000000e+000
1.817308e-002,0.000000e+000,0.000000e+000
1.869231e-002,0.000000e+000,0.000000e+000
1.921154e-002,0.000000e+000,0.000000e+000
1.973077e-002,0.000000e+000,0.000000e+000
2.025000e-002,0.000000e+000,0.000000e+000
2.076923e-002,0.000000e+000,0.000000e+000
2.128846e-002,0.000000e+000,0.000000e+000
2.180769e-002,0.000000e+000,0.000000e+000
2.232692e-002,0.000000e+000,0.000000e+000
2.284615e-002,0.000000e+000,0.000000e+000
2.336538e-002,0.000000e+000,0.000000e+000
2.388462e-002,0.000000e+000,0.000000e+000
2.440385e-002,0.000000e+000,0.000000e+000
2.492308e-002,0.000000e+000,0.000000e+000
2.544231e-002,0.000000e+000,0.000000e+000
2.596154e-002,0.000000e+000,0.000000e+000
2.648077e-002,0.000000e+000,0.000000e+000
2.700000e-002,0.000000e+000,0.000000e+000
2.751923e-002,0.000000e+000,0.000000e+000
2.803846e-002,0.000000e+000,0.000000e+000
2.855769e-002,0.000000e+000,0.000000e+000
2.907692e-002,0.000000e+000,0.000000e+000
2.959615e-002,0.000000e+000,0.000000e+000
3.011538e-002,0.000000e+000,0.000000e+000
3.063462e-002,0.000000e+000,0.000000e+000
3.115385e-002,0.000000e+000,0.000000e+000
3.167308e-002,0.000000e+000,0.000000e+000
3.219231e-002,0.000000e+000,0.000000e+000
3.271154e-002,0.000000e+000,0.000000e+000
3.323077e-002,0.000000e+000,0.000000e+000
3.375000e-002,0.000000e+000,0.000000e+000
3.426923e-002,0.000000e+000,0.000000e+000
3.478846e-002,0.000000e+000,0.000000e+000
3.530769e-002,0.000000e+000,0.000000e+000
3.582692e-002,0.000000e+000,0.000000e+000
3.634615e-002,0.000000e+000,0.000000e+000
3.686538e-002,0.000000e+000,0.000000e+000
3.738462e-002,0.000000e+000,0.000000e+000
3.790385e-002,0.000000e+000,0.000000e+000
3.842308e-002,0.000000e+000,0.000000e+000
3.894231e-002,0.000000e+000,0.000000e+000
3.946154e-002,0.000000e+000,0.000000e+000
3.998077e-002,0.000000e+000,0.000000e+000
4.050000e-002,0.000000e+000,0.000000e+000
4.101923e-002,0.000000e+000,0.000000e+000
4.153846e-002,0.000000e+000,0.000000e+000
4.205769e-002,0.000000e+000,0.000000e+000
4.257692e-002,0.000000e+000,0.000000e+000
4.309615e-002,0.000000e+000,0.000000e+000
4.361538e-002,0.000000e+000,0.000000e+000
4.413462e-002,0.000000e+000,0.000000e+000
4.465385e-002,0.000000e+000,0.000000e+000
4.517308e-002,0.000000e+000,0.000000e+000
4.569231e-002,0.000000e+000,0.000000e+000
4.621154e-002,0.000000e+000,0.000000e+000
4.673077e-002,0.000000e+000,0.000000e+000
4.725000e-002,0.000000e+000,0.000000e+000
4.776923e-002,0.000000e+000,0.000000e+000
4.828846e-002,0.000000e+000,0.000000e+000
4.880769e-002,0.000000e+000,0.000000e+000
4.932692e-002,0.000000e+000,0.000000e+000
4.984615e-002,0.000000e+000,0.000000e+000
5.036538e-002,0.000000e+000,0.000000e+000
5.088462e-002,0.000000e+000,0.000000e+000
5.140385e-002,0.000000e+000,0.000000e+000
5.192308e-002,0.000000e+000,0.000000e+000
5.244231e-002,0.000000e+000,0.000000e+000
5.296154e-002,0.000000e+000,0.000000e+000
5.348077e-002,0.000000e+000,0.000000e+000
5.400000e-002,0.000000e+000,0.000000e+000
5.451923e-002,0.000000e+000,0.000000e+000
5.503846e-002,0.000000e+000,0.000000e+000
5.555769e-002,0.000000e+000,0.000000e+000
5.607692e-002,0.000000e+000,0.000000e+000
5.659615e-002,0.000000e+000,0.000000e+000
5.711538e-002,0.000000e+000,0.000000e+000
5.763462e-002,0.000000e+000,0.000000e+000
5.815385e-002,0.000000e+000,0.000000e+000
5.867308e-002,0.000000e+000,0.000000e+000
5.919231e-002,0.000000e+000,0.000000e+000
5.971154e-002,0.000000e+000,0.000000e+000
6.023077e-002,0.000000e+000,0.000000e+000
6.075000e-002,0.000000e+000,0.000000e+000
6.126923e-002,0.000000e+000,0.000000e+000
6.178846e-002,0.000000e+000,0.000000e+000
6.230769e-002,0.000000e+000,0.000000e+000
6.282692e-002,0.000000e+000,0.000000e+000
6.334615e-002,0.000000e+000,0.000000e+000
6.386538e-002,0.000000e+000,0.000000e+000
6.438462e-002,0.000000e+000,0.000000e+000
6.490385e-002,0.000000e+000,0.000000e+000
6.542308e-002,0.000000e+000,0.000000e+000
6.594231e-002,0.000000e+000,0.000000e+000
6.646154e-002,0.000000e+000,0.000000e+000
6.698077e-002,0.000000e+000,0.000000e+000
6.750000e-002,0.000000e+000,0.000000e+000
6.801923e-002,0.000000e+000,0.000000e+000
6.853846e-002,0.000000e+000,0.000000e+000
6.905769e-002,0.000000e+000,0.000000e+000
6.957692e-002,0.000000e+000,0.000000e+000
7.009615e-002,0.000000e+000,0.000000e+000
7.061538e-002,0.000000e+000,0.000000e+000
7.113462e-002,0.000000e+000,0.000000e+000
7.165385e-002,0.000000e+000,0.000000e+000
7.217308e-002,0.000000e+000,0.000000e+000
7.269231e-002,0.000000e+000,0.000000e+000
7.321154e-002,0.000000e+000,0.000000e+000
7.373077e-002,0.000000e+000,0.000000e+000
7.425000e-002,0.000000e+000,0.000000e+000
7.476923e-002,0.000000e+000,0.000000e+000
7.528846e-002,0.000000e+000,0.000000e+000
7.580769e-002,0.000000e+000,0.000000e+000
7.632692e-002,0.000000e+000,0.000000e+000
7.684615e-002,0.000000e+000,0.000000e+000
7.736538e-002,0.000000e+000,0.000000e+000
7.788462e-002,0.000000e+000,0.000000e+000
7.840385e-002,0.000000e+000,0.000000e+000
7.892308e-002,0.000000e+000,0.000000e+000
7.944231e-002,0.000000e+000,0.000000e+000
7.996154e-002,0.000000e+000,0.000000e+000
8.048077e-002,0.000000e+000,0.000000e+000
8.100000e-002,0.000000e+000,0.000000e+000
8.151923e-002,0.000000e+000,0.000000e+000
8.203846e-002,0.000000e+000,0.000000e+000
8.255769e-002,0.000000e+000,0.000000e+000
8.307692e-002,0.000000e+000,0.000000e+000
8.359615e-002,0.000000e+000,0.000000e+000
8.411538e-002,0.000000e+000,0.000000e+000
8.463462e-002,0.000000e+000,0.000000e+000
8.515385e-002,0.000000e+000,0.000000e+000
8.567308e-002,0.000000e+000,0.000000e+000
8.619231e-002,0.000000e+000,0.000000e+000
8.671154e-002,0.000000e+000,0.000000e+000
8.723077e-002,0.000000e+000,0.000000e+000
8.775000e-002,0.000000e+000,0.000000e+000
8.826923e-002,0.000000e+000,0.000000e+000
8.878846e-002,0.000000e+000,0.000000e+000
8.930769e-002,0.000000e+000,0.000000e+000
8.982692e-002,0.000000e+000,0.000000e+000
9.034615e-002,0.000000e+000,0.000000e+000
9.086538e-002,0.000000e+000,0.000000e+000
9.138462e-002,0.000000e+000,0.000000e+000
9.190385e-002,0.000000e+000,0.000000e+000
9.242308e-002,0.000000e+000,0.000000e+000
9.294231e-002,0.000000e+000,0.000000e+000
9.346154e-002,0.000000e+000,0.000000e+000
9.398077e-002,0.000000e+000,0.000000e+000
9.450000e-002,-4.045167e-005,0.000000e+000
9.501923e-002,-3.508049e-005,0.000000e+000
9.553846e-002,-3.004501e-005,0.000000e+000
9.605769e-002,-2.702373e-005,0.000000e+000
9.657692e-002,-2.568093e-005,0.000000e+000
9.709615e-002,-2.366674e-005,0.000000e+000
9.761538e-002,-2.249180e-005,0.000000e+000
9.813462e-002,-2.232395e-005,0.000000e+000
9.865385e-002,-2.165255e-005,0.000000e+000
9.917308e-002,-2.030976e-005,0.000000e+000
9.969231e-002,-2.030976e-005,0.000000e+000
1.002115e-001,-2.030976e-005,0.000000e+000
1.007308e-001,-1.896696e-005,0.000000e+000
1.012500e-001,-1.829557e-005,0.000000e+000
1.017692e-001,-1.930266e-005,0.000000e+000
1.022885e-001,-1.628138e-005,0.000000e+000
1.028077e-001,-1.359579e-005,0.000000e+000
1.033269e-001,-1.158160e-005,0.000000e+000
1.038462e-001,-1.628138e-005,0.000000e+000
1.043654e-001,-2.870222e-005,0.000000e+000
1.048846e-001,-3.743038e-005,0.000000e+000
1.054038e-001,-3.373770e-005,0.000000e+000
1.059231e-001,-2.131685e-005,0.000000e+000
1.064423e-001,-8.224612e-006,0.000000e+000
1.069615e-001,1.846342e-006,0.000000e+000
1.074808e-001,6.210422e-006,0.000000e+000
1.080000e-001,7.049668e-006,0.000000e+000
1.085192e-001,5.203327e-006,0.000000e+000
1.090385e-001,1.846342e-006,0.000000e+000
1.095577e-001,-2.014191e-006,0.000000e+000
1.100769e-001,-6.881819e-006,0.000000e+000
1.105962e-001,-1.292439e-005,0.000000e+000
1.111154e-001,-1.829557e-005,0.000000e+000
